Hugo_Symbol	MutSig_Synonym	N
PATJ	INADL	28
EVA1C	C21orf63	27
ADGRV1	GPR98	26
PIEZO2	FAM38B	22
CFAP74	KIAA1751	22
MROH5	FLJ43860	21
ARHGEF28	RGNEF	19
CFAP61	C20orf26	18
OTOGL	C12orf64	17
MROH2B	HEATR7B2	17
UNC79	KIAA1409	17
SYNE3	C14orf49	16
TENM3	ODZ3	16
AK9	AKD1	15
TSPOAP1	BZRAP1	15
KMT2D	MLL2	15
TENM2	ODZ2	15
HELZ2	PRIC285	15
CFAP46	C10orf93	14
CFAP47	CXorf22	14
KMT2C	MLL3	14
ERICH3	C1orf173	13
KNL1	CASC5	13
ADGRG4	GPR112	13
KMT2B	MLL4	13
SLX4	BTBD12	12
HECTD4	C12orf51	12
FOCAD	KIAA1797	12
PCNX1	PCNX	12
PPP6R1	SAPS1	12
CFAP44	WDR52	12
PRRC2C	BAT2L2	11
BOD1L1	BOD1L	11
GCN1	GCN1L1	11
ARFGEF3	KIAA1244	11
DROSHA	RNASEN	11
ADGRB1	BAI1	10
SKIDA1	C10orf140	10
SZRD1	C1orf144	10
BPIFB3	C20orf185	10
CCDC170	C6orf97	10
VPS50	CCDC132	10
ADGRD1	GPR133	10
CCAR2	KIAA1967	10
CERS4	LASS4	10
TENM4	ODZ4	10
RBFOX1	A2BP1	9
ADGRB3	BAI3	9
AXDND1	C1orf125	9
BPIFB4	C20orf186	9
TRAPPC11	C4orf41	9
SPECC1	CYTSB	9
SZT2	KIAA0467	9
ICE1	KIAA0947	9
TRAPPC8	KIAA1012	9
PALD1	KIAA1274	9
LTN1	RNF160	9
CEP131	AZI1	8
TICRR	C15orf42	8
TMEM259	C19orf6	8
SOGA1	C20orf117	8
TBC1D32	C6orf170	8
SUGCT	C7orf10	8
ARHGAP35	GRLF1	8
ITIH6	ITIH5L	8
NYAP2	KIAA1486	8
EPG5	KIAA1632	8
CARMIL1	LRRC16A	8
CENPU	MLF1IP	8
KAT6B	MYST4	8
PCNX2	PCNXL2	8
PCNX3	PCNXL3	8
SLC9C2	SLC9A11	8
PRRC2B	BAT2L1	7
KIAA1549L	C11orf41	7
OGFOD3	C17orf101	7
EFCAB13	C17orf57	7
DNAAF3	C19orf51	7
MROH7	C1orf175	7
ZGRF1	C4orf21	7
TRMO	C9orf156	7
CFAP65	CCDC108	7
CEP112	CCDC46	7
COPG1	COPG	7
AGO2	EIF2C2	7
DENND6A	FAM116A	7
FAM214A	KIAA1370	7
USF3	KIAA2018	7
CERS3	LASS3	7
SKOR1	LBXCOR1	7
P3H3	LEPREL2	7
AFDN	MLLT4	7
TONSL	NFKBIL2	7
ORC5	ORC5L	7
DISP3	PTCHD2	7
SCAF8	RBM16	7
ETNPPL	AGXT2L1	6
ADGRB2	BAI2	6
BPIFB6	BPIL3	6
CFAP43	C10orf79	6
DDIAS	C11orf82	6
MYRF	C11orf9	6
CFAP54	C12orf63	6
DNAAF2	C14orf104	6
PPP1R36	C14orf50	6
NPAP1	C15orf2	6
METTL22	C16orf68	6
CTC1	C17orf68	6
GCSAML	C1orf150	6
SUCO	C1orf9	6
LRRC71	C1orf92	6
CCDC173	C2orf77	6
KIAA0825	C5orf36	6
MMS22L	C6orf167	6
NYAP1	C7orf51	6
MROH6	C8orf73	6
COQ8A	CABC1	6
CEP89	CCDC123	6
NELFB	COBRA1	6
AMER3	FAM123C	6
ERICH6	FAM194A	6
SUPT20H	FAM48A	6
ADGRG5	GPR114	6
ADGRG6	GPR126	6
RUBCN	KIAA0226	6
CEP170B	KIAA0284	6
C2CD5	KIAA0528	6
VWA8	KIAA0564	6
TESPA1	KIAA0748	6
MAU2	KIAA0892	6
UVSSA	KIAA1530	6
ADGRL3	LPHN3	6
PIDD1	LRDD	6
KMT2A	MLL	6
KAT6A	MYST3	6
CARMIL2	RLTPR	6
SREK1IP1	SFRS12IP1	6
CLASRP	SFRS16	6
CAPN15	SOLH	6
JAML	AMICA1	5
EXOC3L4	C14orf73	5
MYDGF	C19orf10	5
URI1	C19orf2	5
PROSER3	C19orf55	5
SWT1	C1orf26	5
TLDC2	C20orf118	5
DZANK1	C20orf12	5
NDUFAF5	C20orf7	5
PRR14L	C22orf30	5
KIAA0930	C22orf9	5
SOGA3	C6orf174	5
BRAT1	C7orf27	5
CPED1	C7orf58	5
NUGGC	C8orf80	5
ERCC6L2	C9orf102	5
SPATA6L	C9orf68	5
CCDC171	C9orf93	5
CFAP100	CCDC37	5
CENPC	CENPC1	5
CNTRL	CEP110	5
PIH1D3	CXorf41	5
AP5B1	DKFZp761E198	5
CRACR2B	EFCAB4A	5
AGO3	EIF2C3	5
AGO4	EIF2C4	5
COL26A1	EMID2	5
ADGRE3	EMR3	5
EXOC3L1	EXOC3L	5
DENND6B	FAM116B	5
AMER1	FAM123B	5
STRIP2	FAM40B	5
CMTR1	FTSJD2	5
GALNT16	GALNTL1	5
PAXBP1	GCFC1	5
ADGRF3	GPR113	5
ADGRA1	GPR123	5
ADGRG1	GPR56	5
ARHGAP45	HMHA1	5
FAM234A	ITFG3	5
PUM3	KIAA0020	5
EMC1	KIAA0090	5
SPIDR	KIAA0146	5
MTCL1	KIAA0802	5
CEP162	KIAA1009	5
RIC1	KIAA1432	5
FAM234B	KIAA1467	5
CCDC180	KIAA1529	5
CAMSAP3	KIAA1543	5
SHTN1	KIAA1598	5
LARGE1	LARGE	5
P3H2	LEPREL1	5
ADGRL1	LPHN1	5
PLPPR2	LPPR2	5
METTL16	METT10D	5
NRDC	NRD1	5
PAK5	PAK7	5
GSAP	PION	5
PPP6R2	SAPS2	5
SCAF4	SFRS15	5
SLC9C1	SLC9A10	5
PPP4R3B	SMEK2	5
SSC4D	SRCRB4D	5
SRPRA	SRPR	5
NME8	TXNDC3	5
MAP3K19	YSK4	5
ASIC2	ACCN1	4
ASIC3	ACCN3	4
ASIC4	ACCN4	4
SLC35G6	AMAC1L3	4
APOBR	APOB48R	4
LVRN	AQPEP	4
BCO1	BCMO1	4
TBATA	C10orf27	4
PROSER1	C13orf23	4
TMEM260	C14orf101	4
MIS18BP1	C14orf106	4
PCNX4	C14orf135	4
BBOF1	C14orf45	4
CFAP161	C15orf26	4
FAM227B	C15orf33	4
NUTM1	C15orf55	4
PRR35	C16orf11	4
PAGR1	C16orf53	4
LINC00482	C17orf55	4
FAAP100	C17orf70	4
TIMM21	C18orf55	4
EMC10	C19orf63	4
LRIF1	C1orf103	4
MROH9	C1orf129	4
STUM	C1orf95	4
RTCB	C22orf28	4
CNPPD1	C2orf24	4
POMGNT2	C3orf39	4
NDNF	C4orf31	4
NPR3	C5orf23	4
MLIP	C6orf142	4
ARMC12	C6orf81	4
TMEM248	C7orf42	4
SPOUT1	C9orf114	4
CFAP77	C9orf171	4
DRC7	CCDC135	4
SPDL1	CCDC99	4
CES5A	CES7	4
UTP4	CIRH1A	4
KAT14	CSRP2BP	4
CTPS1	CTPS	4
TKFC	DAK	4
WHRN	DFNB31	4
CRACR2A	EFCAB4B	4
ADGRE2	EMR2	4
ERBIN	ERBB2IP	4
CCSER1	FAM190A	4
COX20	FAM36A	4
GAREM1	FAM59A	4
BRINP2	FAM5B	4
TMEM255A	FAM70A	4
FDX2	FDX1L	4
GALNT18	GALNTL4	4
COLGALT2	GLT25D2	4
GPER1	GPER	4
ADGRA2	GPR124	4
HNRNPDL	HNRPDL	4
KDM7A	JHDM1D	4
TMEM94	KIAA0195	4
AREL1	KIAA0317	4
CLUH	KIAA0664	4
MAP10	KIAA1383	4
ADGRL2	LPHN2	4
DNAAF1	LRRC50	4
KMT2E	MLL5	4
NAPRT	NAPRT1	4
SLC9B2	NHEDC2	4
ORC4	ORC4L	4
PKM	PKM2	4
KIZ	PLK1S1	4
NECTIN2	PVRL2	4
LZTS3	ProSAPiP1	4
SCAF11	SFRS2IP	4
ARHGEF26	SGEF	4
PMEL	SILV	4
MIEF2	SMCR7	4
TNS2	TENC1	4
NELFCD	TH1L	4
CNEP1R1	TMEM188	4
VMP1	TMEM49	4
TRAPPC12	TTC15	4
WAPL	WAPAL	4
CFAP57	WDR65	4
ASIC5	ACCN5	3
GRK2	ADRBK1	3
GPAT3	AGPAT9	3
PHYKPL	AGXT2L2	3
CARF	ALS2CR8	3
SLC35G3	AMAC1	3
ANKEF1	ANKRD5	3
DPH6	ATPBD4	3
B3GLCT	B3GALTL	3
MCMBP	C10orf119	3
ACSM6	C10orf129	3
R3HCC1L	C10orf28	3
CCDC172	C10orf96	3
IFT46	C11orf2	3
CCER1	C12orf12	3
RITA1	C12orf52	3
RUBCNL	C13orf18	3
LACC1	C13orf31	3
NRDE2	C14orf102	3
VRTN	C14orf115	3
LRRC74A	C14orf166B	3
LINC01588	C14orf182	3
IRF2BPL	C14orf4	3
METTL26	C16orf13	3
MEIOC	C17orf104	3
HID1	C17orf28	3
TEPSIN	C17orf56	3
FAM222B	C17orf63	3
NDUFAF8	C17orf89	3
RBFA	C18orf22	3
DYNAP	C18orf26	3
CCDC178	C18orf34	3
SWSAP1	C19orf39	3
SH3D21	C1orf113	3
COA7	C1orf163	3
DRAXIN	C1orf187	3
STPG1	C1orf201	3
BROX	C1orf58	3
BPIFB1	C20orf114	3
MROH8	C20orf132	3
CNBD2	C20orf152	3
BPIFA3	C20orf71	3
SCP2D1	C20orf79	3
GCFC2	C2orf3	3
CAMKMT	C2orf34	3
LDAH	C2orf43	3
NDUFAF7	C2orf56	3
CLHC1	C2orf63	3
WDPCP	C2orf86	3
XXYLT1	C3orf21	3
MB21D2	C3orf59	3
CABS1	C4orf35	3
STPG2	C4orf37	3
DNPH1	C6orf108	3
CLPSL1	C6orf127	3
OARD1	C6orf130	3
PTCHD4	C6orf138	3
CEP85L	C6orf204	3
TMEM242	C6orf35	3
ERMARD	C6orf70	3
BMT2	C7orf60	3
CFAP69	C7orf63	3
SBSPON	C8orf84	3
TMEM245	C9orf5	3
CAAP1	C9orf82	3
SPACA9	C9orf9	3
MICU1	CBARA1	3
KYAT1	CCBL1	3
ACKR2	CCBP2	3
CFAP53	CCDC11	3
CFAP58	CCDC147	3
CFAP45	CCDC19	3
CEP83	CCDC41	3
CEP95	CCDC45	3
SPICE1	CCDC52	3
BICDL2	CCDC64B	3
DEUP1	CCDC67	3
TRMT13	CCDC76	3
ADGRE5	CD97	3
CCP110	CP110	3
SPECC1L	CYTSA	3
INTS6L	DDX26B	3
DDX39A	DDX39	3
DIMT1	DIMT1L	3
AGO1	EIF2C1	3
AMER2	FAM123A	3
SAXO1	FAM154A	3
SLF2	FAM178A	3
NUTM2G	FAM22G	3
NXPE3	FAM55C	3
MIGA1	FAM73A	3
ARHGEF40	FLJ10357	3
C5orf64	FLJ37543	3
IZUMO1R	FOLR4	3
CMTR2	FTSJD1	3
ADGRF1	GPR110	3
ADGRF2	GPR111	3
ADGRF5	GPR116	3
ADGRA3	GPR125	3
ADGRG2	GPR64	3
ADGRG3	GPR97	3
GCOM1	GRINL1A	3
DNAAF5	HEATR2	3
AJUBA	JUB	3
AP5Z1	KIAA0415	3
CEP104	KIAA0562	3
ATG14	KIAA0831	3
ZSWIM8	KIAA0913	3
CEMIP	KIAA1199	3
CFAP97	KIAA1430	3
CCDC183	KIAA1984	3
CERS2	LASS2	3
CARMIL3	LRRC16B	3
MELTF	MFI2	3
MFSD4A	MFSD4	3
MTFP1	MTP18	3
COPS9	MYEOV2	3
ICE2	NARG2	3
NAA60	NAT15	3
NSMF	NELF	3
NT5C3B	NT5C3L	3
NUP58	NUPL1	3
JADE2	PHF15	3
JADE3	PHF16	3
JADE1	PHF17	3
PRMT9	PRMT10	3
HACD1	PTPLA	3
NECTIN1	PVRL1	3
NECTIN4	PVRL4	3
RBFOX2	RBM9	3
ARHGAP44	RICH2	3
PTBP3	ROD1	3
RSPH14	RTDR1	3
NEMF	SDCCAG1	3
SRSF11	SFRS11	3
SUGP2	SFRS14	3
SRSF7	SFRS7	3
TANGO6	TMCO7	3
CATSPERD	TMEM146	3
AGMO	TMEM195	3
SYNDIG1L	TMEM90A	3
EMC2	TTC35	3
UQCC1	UQCC	3
PYM1	WIBG	3
ZNF106	ZFP106	3
RBSN	ZFYVE20	3
ZBTB18	ZNF238	3
ZFP69	ZNF642	3
CHAMP1	ZNF828	3
AOC1	ABP1	2
ASIC1	ACCN2	2
PXYLP1	ACPL2	2
GRK3	ADRBK2	2
TMEM237	ALS2CR4	2
SLF1	ANKRD32	2
ZFAND4	ANUBL1	2
NAXE	APOA1BP	2
CLMP	ASAM	2
PGGHG	ATHL1	2
TRAPPC3L	BET3L	2
BPIFB2	BPIL1	2
BPIFC	BPIL2	2
EDRF1	C10orf137	2
CACUL1	C10orf46	2
PROSER2	C10orf47	2
LMNTD2	C11orf35	2
LAMTOR1	C11orf59	2
HIKESHI	C11orf73	2
MAJIN	C11orf85	2
TMEM263	C12orf23	2
LINC01559	C12orf36	2
SPX	C12orf39	2
PARPBP	C12orf48	2
TIGAR	C12orf5	2
CCDC184	C12orf68	2
TEX29	C13orf16	2
TEX26	C13orf26	2
TEX30	C13orf27	2
MEDAG	C13orf33	2
BORA	C13orf34	2
ATP11AUN	C13orf35	2
METTL21C	C13orf39	2
GPATCH2L	C14orf118	2
ELMSAN1	C14orf43	2
SLC25A47	C14orf68	2
KNSTRN	C15orf23	2
TMEM266	C15orf27	2
GAS8-AS1	C16orf3	2
VPS9D1	C16orf7	2
MEIOB	C16orf73	2
KNOP1	C16orf88	2
MIEN1	C17orf37	2
GID4	C17orf39	2
SMG8	C17orf71	2
COPRS	C17orf79	2
MISP	C19orf21	2
CBARP	C19orf26	2
MFSD12	C19orf28	2
FAAP24	C19orf40	2
MCEMP1	C19orf59	2
RUSC1-AS1	C1orf104	2
CCDC190	C1orf110	2
SHCBP1L	C1orf14	2
MAB21L3	C1orf161	2
CFAP126	C1orf192	2
TRMT1L	C1orf25	2
CIART	C1orf51	2
NTPCR	C1orf57	2
RSRP1	C1orf63	2
RRNAD1	C1orf66	2
IBA57	C1orf69	2
GLMP	C1orf85	2
FAAP20	C1orf86	2
CCM2L	C20orf160	2
FNDC11	C20orf195	2
AAR2	C20orf4	2
TSPEAR	C21orf29	2
FAM207A	C21orf70	2
DRICH1	C22orf43	2
CNOT11	C2orf29	2
DRC1	C2orf39	2
CATIP	C2orf62	2
KANSL1L	C2orf67	2
FAM228A	C2orf84	2
RTP5	C2orf85	2
TRABD2A	C2orf89	2
TCAIM	C3orf23	2
SSUH2	C3orf32	2
HMCES	C3orf37	2
NOA1	C4orf14	2
LINC01587	C4orf6	2
TEX43	C5orf48	2
ZBED8	C5orf54	2
GFOD1	C6orf114	2
FAM217A	C6orf146	2
RRP36	C6orf153	2
CFAP206	C6orf165	2
CEP57L1	C6orf182	2
TMEM244	C6orf191	2
ARMT1	C6orf211	2
TMEM243	C7orf23	2
MALSU1	C7orf30	2
FAM221A	C7orf46	2
NAT16	C7orf52	2
TTI2	C8orf41	2
MCMDC2	C8orf45	2
THEM6	C8orf55	2
AARD	C8orf85	2
EQTN	C9orf11	2
CFAP157	C9orf117	2
SAPCD2	C9orf140	2
RABL6	C9orf86	2
NMRK1	C9orf95	2
NAXD	CARKD	2
CFAP36	CCDC104	2
PRIMPOL	CCDC111	2
EFCC1	CCDC48	2
NSRP1	CCDC55	2
CRAMP1	CRAMP1L	2
YBX3	CSDA	2
DEPTOR	DEPDC6	2
HOGA1	DHDPSL	2
CTDNEP1	DULLARD	2
PPP1R27	DYSFIP1	2
ERO1B	ERO1LB	2
ERV3-1	ERV3	2
ABHD17A	FAM108A1	2
PCED1A	FAM113A	2
TCAF1	FAM115A	2
ZC2HC1A	FAM164A	2
EVA1A	FAM176A	2
EVA1B	FAM176B	2
TVP23A	FAM18A	2
NUTM2F	FAM22F	2
STRIP1	FAM40A	2
MTFR2	FAM54A	2
NXPE4	FAM55D	2
BRINP3	FAM5C	2
RMDN2	FAM82A1	2
GALNT15	GALNTL2	2
COLGALT1	GLT25D1	2
CPTP	GLTPD1	2
ADGRF4	GPR115	2
ADGRG7	GPR128	2
SLC52A1	GPR172B	2
PTGDR2	GPR44	2
MROH1	HEATR7A	2
MRPL58	ICT1	2
LMNTD1	IFLTD1	2
IL36RN	IL1F5	2
KDM8	JMJD5	2
KLHL40	KBTBD5	2
IST1	KIAA0174	2
GSE1	KIAA0182	2
TTI1	KIAA0406	2
CTIF	KIAA0427	2
EFCAB14	KIAA0494	2
