gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
KRAS	259193	512	16	143976	34692	224280	14	0	0	47	54	21787836	0	0
VHL	825905	170	39	125664	38136	126756	11	0	1	20	23	8313648	0	0
TP53	2069567	213	34	259476	71652	450324	41	3	0	32	44	12831672	4.440892e-16	2.792137e-12
APC	247811	399	28	1693692	471492	617400	22	3	1	9	14	5766432	1.309673e-09	6.175764e-06
PBRM1	1217701	231	47	1010184	255108	1560384	10	1	2	17	28	11956308	2.570467e-07	9.696828e-04
PTEN	259678	300	34	254352	59136	435204	7	0	1	34	33	19545204	3.871062e-07	1.216933e-03
EGFR	423489	336	-13	797244	210504	1603224	13	3	2	3	5	2730336	2.086907e-06	5.332845e-03
SP8	109058	730	11	286524	99792	82404	10	1	1	6	11	1699572	2.261837e-06	5.332845e-03
KRT76	1444461	422	38	382200	109452	493416	8	4	0	8	9	4834956	3.902107e-06	8.177950e-03
MSH3	319054	752	36	697032	186984	1083348	9	1	2	20	20	12082728	7.188508e-06	1.355896e-02
DENND4B	2028800	222	34	869988	288960	822528	7	2	1	41	50	20970936	2.741057e-05	4.700164e-02
MAGEL2	94496	904	-55	702576	242424	11844	6	1	0	50	32	16995972	4.217017e-05	6.628448e-02
SPAG9	1009546	138	-3	813372	215292	1453032	8	0	2	6	5	4779348	9.217593e-05	1.337402e-01
ZNF395	289053	229	44	303576	94080	353556	4	1	0	25	32	9883944	1.140863e-04	1.503296e-01
C1orf95	608933	509	12	84924	25452	187740	3	0	1	50	76	34626816	1.195496e-04	1.503296e-01
SRPR	385871	426	29	386652	109536	683172	4	0	1	50	45	28693308	1.583840e-04	1.867149e-01
HAND2	251136	719	-10	127848	37968	60732	5	1	0	11	16	5499228	1.718891e-04	1.907160e-01
C20orf26	228680	750	-3	767424	202776	1791216	10	2	6	40	53	22452948	2.116982e-04	2.067899e-01
ARID1A	975965	182	27	1343832	403536	880236	9	0	1	2	5	3281712	2.337063e-04	2.067899e-01
OR10Z1	179404	940	1	179928	57204	25704	6	0	0	50	99	30901332	2.361021e-04	2.067899e-01
PRMT8	227736	768	15	246204	61488	653184	5	0	1	45	43	18750984	2.376046e-04	2.067899e-01
KIAA1486	17102	517	-4	380940	118524	193788	7	1	0	50	93	33581520	2.432931e-04	2.067899e-01
FERD3L	103347	812	-15	97776	29484	35532	3	0	0	50	67	27454812	2.521561e-04	2.067899e-01
CA2	100997	1460	-18	160944	42420	301896	4	0	0	50	47	19605432	3.255877e-04	2.558848e-01
C5orf23	477035	487	-15	72156	20076	77112	4	0	0	50	69	31100496	3.461279e-04	2.594935e-01
SOX9	159643	606	-41	299712	87864	103824	3	0	0	6	6	5792808	3.576944e-04	2.594935e-01
CBFB	1068656	125	48	124236	30744	259308	2	0	0	50	44	25450572	4.049606e-04	2.788228e-01
TRPS1	55597	711	-10	772716	211344	321804	8	1	2	24	36	14430612	4.139031e-04	2.788228e-01
DSG3	275713	450	-18	595308	175812	794052	9	1	1	15	8	7104720	4.529927e-04	2.884295e-01
DAZAP1	2352825	221	38	267204	75768	538524	5	3	1	5	11	1850184	4.587470e-04	2.884295e-01
KRTAP4-5	996799	468	-7	109872	28224	24696	2	0	0	50	44	19081692	5.182181e-04	3.153106e-01
BAP1	1078407	229	62	440580	127428	637056	4	0	0	14	9	6126708	5.355687e-04	3.156843e-01
MPRIP	783403	214	11	641844	176148	1138788	9	0	1	10	7	6033888	5.571461e-04	3.184512e-01
TLR4	58763	944	-8	499632	137424	133812	8	1	0	21	35	12210576	5.818853e-04	3.228094e-01
MAGEC3	17504	NaN	-11	461916	124740	414036	8	1	0	34	88	28396788	6.323990e-04	3.408088e-01
RELL2	771583	353	25	181944	54684	356832	6	0	0	32	33	18182136	6.617074e-04	3.466979e-01
RP1L1	99570	456	15	1381884	436296	170100	13	0	0	10	4	5647404	6.882417e-04	3.508545e-01
MAP3K1	200595	412	38	901152	261828	784476	6	1	0	16	31	11553864	7.351398e-04	3.649002e-01
PRPF40B	2010227	265	53	538356	145572	1096452	3	0	0	4	0	23161740	7.800671e-04	3.772725e-01
ELF3	751933	168	31	229236	60060	342972	5	1	0	50	59	28952364	8.693734e-04	4.099530e-01
C1orf192	751212	293	30	107436	31668	318276	2	0	0	43	49	25033512	9.400750e-04	4.287514e-01
AFF2	97330	NaN	-13	803712	222180	1222200	8	1	1	5	5	3338916	9.731442e-04	4.287514e-01
PDCD1	559742	487	29	169260	53760	113148	3	0	0	50	89	34533660	9.857238e-04	4.287514e-01
CACNA1A	1604988	497	12	1532328	438060	1204308	12	4	4	3	17	5274948	1.000162e-03	4.287514e-01
LRRC59	1335838	196	24	184380	54516	392616	3	0	0	18	21	9675876	1.047544e-03	4.390840e-01
GRXCR1	32225	966	18	174384	48636	246708	3	0	0	26	31	13978692	1.083894e-03	4.405259e-01
ATG5	181529	390	32	174804	40908	584388	2	0	0	17	16	14100240	1.097695e-03	4.405259e-01
CYTSB	302887	339	-13	653856	185052	1183140	5	1	3	50	55	29009484	1.145046e-03	4.499553e-01
MOCOS	393505	591	40	534072	153132	742644	4	0	1	31	35	19411392	1.318078e-03	5.073794e-01
SURF6	1846659	416	36	212604	65604	270648	6	0	1	50	50	21653436	1.431914e-03	5.231255e-01
FAM104B	214019	NaN	18	103236	22764	143892	2	0	1	16	21	7220556	1.457455e-03	5.231255e-01
GAB1	183119	699	18	437388	120792	734076	5	1	0	20	15	8296260	1.458277e-03	5.231255e-01
ARMC3	164960	449	12	535416	142464	721728	5	0	0	18	20	12255012	1.469921e-03	5.231255e-01
NOL7	277395	425	37	162204	40908	273924	4	1	1	18	19	8985060	1.731602e-03	6.048423e-01
FTSJD1	420704	736	3	462924	120960	40572	3	0	0	50	62	28639464	1.808512e-03	6.155995e-01
ITIH5L	257678	NaN	19	759696	246288	387324	7	1	0	35	38	19697664	1.836856e-03	6.155995e-01
INO80E	NaN	NaN	NaN	145992	46284	296856	2	0	1	50	155	57946392	1.860310e-03	6.155995e-01
CACNA1D	514645	578	42	1364076	361116	2631384	9	1	3	0	4	2992500	1.903847e-03	6.178083e-01
PROK1	403650	479	31	64008	18648	156492	3	0	0	18	18	8786736	2.041834e-03	6.178083e-01
KIAA0040	NaN	NaN	NaN	60228	15372	0	6	0	0	1	0	387072	2.054952e-03	6.178083e-01
ISG20L2	1851672	180	37	209076	60564	226296	2	0	0	20	14	10511928	2.118994e-03	6.178083e-01
CDH1	924096	240	30	528864	153804	767088	3	0	2	23	29	11571504	2.138258e-03	6.178083e-01
HCN4	314300	642	16	686364	230916	245700	6	0	1	50	60	31126956	2.142146e-03	6.178083e-01
PLEKHO1	1202779	309	41	243180	72324	283752	2	1	0	50	60	27013476	2.152097e-03	6.178083e-01
WNT8B	1153157	264	50	209412	61740	268884	2	0	0	50	62	31334268	2.170852e-03	6.178083e-01
ZFP36L1	543449	259	46	194796	62496	161028	2	0	0	50	57	24926832	2.212321e-03	6.178083e-01
ACOT9	473183	NaN	48	285432	69132	706608	4	0	1	24	33	13742484	2.250430e-03	6.178083e-01
FCRL5	234921	764	25	578844	176652	917280	6	1	0	2	2	2721768	2.323282e-03	6.178083e-01
C5orf48	235652	347	15	83580	21504	136080	2	0	0	50	50	25009236	2.335826e-03	6.178083e-01
SOX4	117516	676	1	267288	91812	2268	4	0	0	50	79	22915620	2.336573e-03	6.178083e-01
LRRC17	749653	456	23	273420	67788	366408	4	1	0	21	38	15123444	2.336994e-03	6.178083e-01
DYRK3	491162	261	34	353640	99456	236376	4	0	0	18	27	13612368	2.358297e-03	6.178083e-01
ACAP1	1911735	206	36	448476	133392	759276	5	1	1	32	39	16465344	2.419566e-03	6.251762e-01
HOXA1	356045	385	28	201264	54264	89964	3	1	0	17	22	7813764	2.519815e-03	6.257311e-01
RPRD2	1460825	163	36	851592	263760	360108	7	1	0	40	61	27947640	2.531763e-03	6.257311e-01
