gene	bin
A1BG	11006
NAT2	5928
ADA	11183
CDH2	10545
AKT3	932
ZBTB11-AS1	2434
MED6	9334
NR2E3	9699
NAALAD2	7896
SNORD116-1	9503
SNORD116-2	9503
SNORD116-3	9503
SNORD116-4	9503
SNORD116-5	9503
SNORD116-8	9504
SNORD116-10	9504
SNORD116-11	9504
SNORD116-12	9504
SNORD116-13	9504
SNORD116-15	9504
SNORD116-16	9504
SNORD116-18	9504
SNORD116-20	9504
SNORD116-22	9504
SNORD116-23	9504
SNORD116-24	9504
SNORD116-25	9504
SNORD115-2	9504
SNORD116-26	9504
SNORD115-3	9504
SNORD115-4	9504
SNORD115-5	9504
SNORD115-6	9504
SNORD115-7	9504
SNORD115-8	9504
SNORD115-9	9504
SNORD115-10	9504
SNORD115-11	9504
SNORD115-13	9504
SNORD115-14	9504
SNORD115-16	9504
SNORD115-17	9504
SNORD115-22	9504
SNORD115-25	9504
SNORD115-26	9504
SNORD115-30	9504
SNORD115-31	9504
SNORD115-32	9504
SNORD115-33	9504
SNORD115-35	9504
SNORD115-37	9504
SNORD115-38	9504
SNORD115-39	9504
SNORD115-40	9504
SNORD115-41	9504
SNORD115-44	9504
MIR675	7539
SNORD116-28	9504
SNORD116-29	9504
SNORD115-48	9504
SNORD115-24	9504
SNORD115-27	9504
SNORD115-28	9504
SNORD115-45	9504
SNORD115-47	9504
DDTL	11444
TLX1NB	7386
NAALADL1	7792
CDKN2B-AS1	6590
SIGLEC14	10980
ACOT8	11188
ABI1	7089
GNPDA1	4312
MIMT1	10999
KCNE3	7829
ZBTB33	12023
SNHG8	3382
GS1-600G8.3	11613
CDH3	10048
TANK	1623
HAVCR1P1	10879
ZSCAN30	10579
MCTS2P	11124
SRA1	4306
SNORD119	11017
SNORD121A	6644
SNORD19B	2229
SNORD105B	10824
SNORD123	3748
UCKL1-AS1	11270
SNORD127	9219
SNORD126	9109
SNORD11B	1811
SNORD12B	11203
SNORD111B	10054
LIN28B-AS1	4915
LINC00583	6553
TMEM170B	4537
FAM138E	9829
SNORD58C	10645
SCARNA27	4522
SNORA84	6770
SNORA36C	1271
SNORA38B	10383
SNORA70B	1234
SNORA70C	6879
SNORA11B	9427
SNORA11C	11765
HOTAIR	8322
ZGLP1	10825
FMR1-AS1	12138
MIR298	11247
MIR300	9474
VTRNA2-1	4286
MIR450B	12085
MIR890	12129
MIR891B	12129
MIR888	12129
MIR892B	12129
MIR541	9474
MIR875	6283
MIR876	6621
MIR147B	9580
MIR744	10189
MIR665	9473
MIR873	6621
MIR374B	11845
MIR216B	1210
MIR920	8205
MIR922	2866
MIR934	12092
MIR935	10989
MIR936	7399
MIR938	7102
MIR940	9838
MIR941-1	11270
MIR942	503
MIR943	2875
MIR708	7851
MIR885	2039
MIR543	9474
MIR208B	9122
MIR937	6487
MIR944	2831
MIR891A	12130
MIR892A	12129
MIR874	4293
MIR889	9474
MIR190B	537
MIR760	402
MIR921	588
MIR933	1687
MIR939	6488
MIR941-3	11270
MIR365A	9891
MIR365B	10239
SNAR-G1	10969
SNAR-F	10975
NAV2-AS6	7616
EGOT	2013
GHRLOS	2038
SNAR-A1	10964
SNAR-A12	10964
MINAR2	4257
SLCO4A1-AS1	11265
NA	7363
C8orf88	6244
DPPA2P3	2850
WWTR1-AS1	2649
PLCE1-AS1	7356
FAM229A	127
LOC100128076	6769
JAZF1-AS1	5334
ST8SIA6-AS1	7049
HGC6.3	5200
STAU2-AS1	6166
LOC100128164	2741
UST-AS1	5115
TMPO-AS1	8523
LINC02731	8096
ZNF667-AS1	10998
HTR5A-AS1	5837
DNM1P35	9716
LOC100128288	10173
DLG5-AS1	7286
TRAPPC3L	4967
LOC100128361	6771
LINC00696	2226
FAM225B	6860
LOC100128398	11004
LINC00892	12092
SCP2D1-AS1	11092
ASTN2-AS1	6876
NEBL-AS1	7065
KIAA1671-AS1	11448
LINC02347	8648
RANBP3-DT	10809
C19orf71	10799
SLC8A1-AS1	1136
LOC100128593	6966
CDC42P3	6483
ACVR2B-AS1	2166
HPN-AS1	10914
LINC01531	10916
LINC02346	9507
OST4	1078
RBPMS-AS1	5983
LOC100128770	9841
LINC00476	6784
LINC01349	433
SRRM2-AS1	9840
GPR158-AS1	7082
LINC01003	5827
VPS9D1-AS1	10137
LOC100128885	5464
GATA6-AS1	10518
ZBTB42	9490
LINC01310	11553
LOC100128993	5932
PCBP3-AS1	11418
LOC100129034	6912
BCAR3-AS1	401
CCNYL4	7139
LOC100129066	6759
KTN1-AS1	9266
SIGLEC10-AS1	10979
KHDC1L	4776
LOC100129138	446
LOC100129148	5777
LOC100129175	1887
ZSCAN16-AS1	4610
MATN1-AS1	120
CXorf51A	12133
SMIM27	6638
LINC01160	478
C1orf68	530
LOC100129316	6764
LINC02291	9457
NRADDP	2205
SMIM10L1	8146
C9orf92	6564
GABPB1-AS1	9602
MSTO2P	543
RPL19P12	5614
DDC-AS1	5433
LINC01546	11569
MKRN2OS	2048
ZNF37BP	7140
ETDB	12088
SOD2-OT1	5164
TEX13C	12044
LOC100129534	6
ZNF730	10875
LINC02035	2531
FAM47E	3192
LINC00462	8808
LOC100129617	10101
PLPPR5-AS1	426
TCF24	6137
FGF13-AS1	12102
IZUMO3	6601
ARRDC3-AS1	4083
STPG3-AS1	6968
LINC01126	1151
CCDC152	3893
SLC25A21-AS1	9184
IRAG1-AS1	7574
PCOLCE-AS1	5606
SCOC-AS1	3478
LOC100129917	2870
TMEM269	173
LOC100129931	2896
LOC100129935	10933
CCNT2-AS1	1502
CERNA1	9610
HDAC6	11770
URAHP	10139
FTLP10	3157
LOC100130075	8388
MIR124-2HG	6126
EFCAB14-AS1	190
LINC00861	6404
SLC24A3-AS1	11094
CCDC166	6486
TFAP2A-AS1	4532
LOC100130298	6110
C8orf89	6166
SUPT20HL1	11662
C17orf107	10158
LOC100130331	909
SCGB2B3P	10913
TMEM262	7792
LOC100130357	4545
LOC100130370	10443
LINC00552	9103
CECR7	11422
LOC100130449	1985
SPAG16-DT	1861
LOC100130452	1786
WAKMAR2	5064
LINC01387	10480
TMEM221	10854
PARD6G-AS1	10786
LINC02881	7147
NFYC-AS1	164
LINC00910	10284
PRR32	12051
LOC100130673	5354
LOC100130691	1697
TP53TG3HP	9945
ATP6V1FNB	5731
HDHD5-AS1	11423
LRRC70	3963
LRRC69	6245
LOC100130744	3772
EFCAB10	5624
AGAP2-AS1	8338
SBK3	10994
USP3-AS1	9662
LOC100130872	2871
CREB3L2-AS1	5771
TSTD3	4891
SMIM6	10419
ZNF663P	11191
